concept_key,display_name,description,level_range,recommended_difficulty_start,tags
be.pres.svc.aff,현재 be 동사 긍정,S + be + C (기본 상태 설명),L1,1,"sentence,be,svc,affirmative"
be.pres.svc.neg,현재 be 동사 부정,S + be + not + C,L2,1,"sentence,be,svc,negative"
be.pres.q.yn,현재 be 의문(예/아니오),Be + S + C?,L2,1,"sentence,be,question,yn"
be.pres.q.wh.where,현재 be Wh-의문(장소),Wh(where) + be + S?,L2,1,"sentence,be,question,wh:where"
simple.pres.svo.np.aff,현재 단순 SVO 긍정,S + V + O (일반동사),L1,1,"sentence,svo,obj:np,affirmative"
simple.pres.svo.np.neg,현재 단순 SVO 부정,S + do/does + not + V,L2,1,"sentence,svo,negative"
simple.pres.q.yn,현재 단순 의문(예/아니오),Do/Does + S + V?,L2,1,"sentence,svo,question,yn"
simple.pres.q.wh.what,현재 단순 Wh-의문(what),What + do/does + S + V?,L2,1,"sentence,svo,question,wh:what"
exist.pres.there_be.aff,존재문 현재 긍정,There is/are + N,L1,1,"sentence,there_be,existence,affirmative"
modal.can.svo.aff,조동사 can 긍정,S + can + V (+ O),L2,1,"sentence,modal,can,affirmative"
modal.can.svo.neg,조동사 can 부정,S + cannot/can't + V,L2,1,"sentence,modal,can,negative"
modal.can.q.yn,조동사 can 의문(예/아니오),Can + S + V?,L2,1,"sentence,modal,can,question,yn"
be.past.svc.aff,과거 be 동사 긍정,S + was/were + C,L3,1,"sentence,be,svc,affirmative,past"
be.past.svc.neg,과거 be 동사 부정,S + was/were + not + C,L3,1,"sentence,be,svc,negative,past"
be.past.q.yn,과거 be 의문(예/아니오),Was/Were + S + C?,L3,1,"sentence,be,question,yn,past"
simple.past.svo.np.aff,과거 단순 SVO 긍정,S + V(past) + O,L3,1,"sentence,svo,obj:np,affirmative,past"
simple.past.q.yn,과거 단순 의문(예/아니오),Did + S + V?,L3,1,"sentence,svo,question,yn,past"
simple.past.q.wh.when,과거 단순 Wh-의문(when),When + did + S + V?,L3,1,"sentence,svo,question,wh:when,past"
future.will.svo.np.aff,미래 will SVO 긍정,S + will + V (+ O),L4,1,"sentence,svo,future,will,affirmative"
future.be_going_to.svo.np.aff,미래 be going to SVO 긍정,S + be going to + V (+ O),L4,1,"sentence,svo,future,be_going_to,affirmative"
ditrans.past.svoo.aff,과거 이중목적어 SVOO,S + V + IO + DO (과거),L3,1,"sentence,svoo,ditransitive,affirmative,past"
simple.pres.svo.to_inf.aff,to-부정사 목적어,S + V + to V,L4,1,"sentence,svo,obj:to_inf,affirmative"
simple.pres.svo.gerund.aff,동명사 목적어,S + V + V-ing,L4,1,"sentence,svo,obj:gerund,affirmative"
comp.adj.svc.basic,비교급 문장(SVC) 기본,S + be + adj(-er/more + adj) + than ~,L9,1,"sentence,comparative,svc,adj"
sup.adj.svc.basic,최상급 문장(SVC) 기본,S + be + the + adj(-est/most + adj),L9,1,"sentence,superlative,svc,adj"
prog.pres.be_v_ing.aff,현재진행 긍정,S + be + V-ing,L5,1,"sentence,progressive,affirmative"
prog.pres.be_v_ing.neg,현재진행 부정,S + be + not + V-ing,L5,1,"sentence,progressive,negative"
prog.pres.be_v_ing.q,현재진행 의문,Be + S + V-ing?,L5,1,"sentence,progressive,question"
perf.pres.have_pp.aff,현재완료 긍정(행동동사),S + have/has + p.p.,L6,1,"sentence,perfect,affirmative"
perf.pres.have_pp.neg,현재완료 부정(행동동사),S + have/has + not + p.p.,L6,1,"sentence,perfect,negative"
perf.pres.have_pp.q,현재완료 의문(행동동사),Have/Has + S + p.p.?,L6,1,"sentence,perfect,question"
pass.pres.be_pp.aff,수동태 현재 긍정,S + be + p.p.,L7,1,"sentence,passive,affirmative"
pass.past.be_pp.aff,수동태 과거 긍정,S + was/were + p.p.,L7,1,"sentence,passive,affirmative,past"
svoc.make_call,SVOC(사역/선정류),S + V + O + C (make/let/have 등),L7,1,"sentence,svoc,causative"
complex.if.when,복합문(조건 If/When),If/When 절 + 주절,L8,1,"sentence,complex,subordinate,if_when"
complex.because,복합문(이유 Because),Because 절 + 주절,L8,1,"sentence,complex,subordinate,because"
relclause.who_that.basic,관계절 기초(who/that),N + (who/that) + 절,L9,1,"sentence,relclause,basic"
comp.adj.svc.ext,비교급 문장(SVC) 확장,비교급 강조/수식(much/far/a bit 등) 포함,L9,1,"sentence,comparative,svc,adj,extended"
sup.adj.svc.ext,최상급 문장(SVC) 확장,최상급 + 범위/집단(of/in) 표현 포함,L9,1,"sentence,superlative,svc,adj,extended"
